inoculation,number,total_id,harvest_order
R,146,DFCR146,1
R,182,DFCR182,2
R,197,DFCR197,3
R,135,DFCR135,4
R,186,DFCR186,5
R,193,DFCR193,6
R,116,DFCR116,7
R,144,DFCR144,8
R,151,DFCR151,9
R,101,DFCR101,10
R,199,DFCR199,11
R,165,DFCR165,12
R,190,DFCR190,13
R,187,DFCR187,14
R,200,DFCR200,15
R,198,DFCR198,16
R,130,DFCR130,17
R,183,DFCR183,18
R,163,DFCR163,19
R,145,DFCR145,20
R,121,DFCR121,21
R,119,DFCR119,22
R,196,DFCR196,23
R,127,DFCR127,24
R,117,DFCR117,25
R,162,DFCR162,26
R,138,DFCR138,27
R,189,DFCR189,28
R,124,DFCR124,29
R,143,DFCR143,30
R,122,DFCR122,31
R,142,DFCR142,32
R,172,DFCR172,33
R,155,DFCR155,34
R,147,DFCR147,35
R,137,DFCR137,36
R,154,DFCR154,37
R,149,DFCR149,38
R,109,DFCR109,39
R,156,DFCR156,40
R,157,DFCR157,41
R,141,DFCR141,42
R,106,DFCR106,43
R,194,DFCR194,44
R,179,DFCR179,45
R,107,DFCR107,46
R,102,DFCR102,47
R,191,DFCR191,48
R,161,DFCR161,49
R,139,DFCR139,50
R,136,DFCR136,51
R,114,DFCR114,52
R,110,DFCR110,53
R,169,DFCR169,54
R,166,DFCR166,55
R,115,DFCR115,56
R,174,DFCR174,57
R,104,DFCR104,58
R,168,DFCR168,59
R,150,DFCR150,60
R,125,DFCR125,61
R,123,DFCR123,62
R,184,DFCR184,63
R,192,DFCR192,64
R,158,DFCR158,65
R,188,DFCR188,66
R,185,DFCR185,67
R,170,DFCR170,68
R,152,DFCR152,69
R,126,DFCR126,70
R,175,DFCR175,71
R,113,DFCR113,72
R,181,DFCR181,73
R,132,DFCR132,74
R,134,DFCR134,75
R,176,DFCR176,76
R,128,DFCR128,77
R,177,DFCR177,78
R,133,DFCR133,79
R,160,DFCR160,80
R,153,DFCR153,81
R,118,DFCR118,82
R,120,DFCR120,83
R,167,DFCR167,84
R,159,DFCR159,85
R,108,DFCR108,86
R,195,DFCR195,87
R,129,DFCR129,88
R,173,DFCR173,89
R,112,DFCR112,90
R,148,DFCR148,91
R,131,DFCR131,92
R,111,DFCR111,93
R,180,DFCR180,94
R,103,DFCR103,95
R,140,DFCR140,96
R,105,DFCR105,97
R,171,DFCR171,98
R,164,DFCR164,99
R,178,DFCR178,100
U,203,DFCU203,1
U,205,DFCU205,2
U,201,DFCU201,3
U,202,DFCU202,4
U,204,DFCU204,5
S,212,DFCS212,1
S,214,DFCS214,2
S,215,DFCS215,3
S,206,DFCS206,4
S,216,DFCS216,5
S,208,DFCS208,6
S,207,DFCS207,7
S,210,DFCS210,8
S,219,DFCS219,9
S,209,DFCS209,10
S,217,DFCS217,11
S,213,DFCS213,12
S,218,DFCS218,13
